location_id,location_name,normalized_name,city,country,opentripmap_match_name,opentripmap_match_score,source_opentripmap_id,source_osm_id,source_wikidata_id,latitude,longitude,category_raw,opentripmap_rate,popularity_score,data_source,opentripmap_match_status,category,sub_category,description,indoor_outdoor,average_visit_duration_min,min_visit_duration_min,max_visit_duration_min,recommended_visit_time,reservation_required,is_family_friendly,opening_hours_raw,opening_time,closing_time,open_days,closed_days,is_open_24h,entry_fee_adult,entry_fee_student,currency,is_free,budget_level,google_rating,google_review_count,tourist_importance_score,history_score,museum_score,art_score,architecture_score,photography_score,nature_score,gastronomy_score,shopping_score,religious_score,public_transport_score,walking_difficulty_score,weather_sensitivity,good_for_rainy_weather,good_for_hot_weather,location_identity_source,coordinate_source,planning_feature_source,fee_data_source,opening_hours_source,interest_scores_source,google_rating_source,data_confidence_level,needs_verification,verification_note
11,Castel Sant'Angelo,castel santangelo,Rome,Italy,Mausoleum of Hadrian,100.0,Q3301838,,Q3301838,41.903099060058594,12.466400146484377,"historic,monuments_and_memorials,burial_places,interesting_places,monuments,mausoleums",2.0,2.0,OpenTripMap,strong_match,historic,castle_museum,,mixed,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,15,0,EUR,False,medium,,,9,9,6,3,8,9,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
12,Villa Borghese,villa borghese,Rome,Italy,villa borghese,100.0,Q3661788,,Q3661788,41.912841796875,12.486536026000977,"palaces,architecture,historic_architecture,interesting_places",3.0,3.0,OpenTripMap,strong_match,park,urban_park,,outdoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,8,5,0,3,5,8,10,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
13,Borghese Gallery,borghese gallery,Rome,Italy,galleria borghese,100.0,N1440405490,node/1440405490,Q841506,41.91411972045898,12.492060661315918,"cultural,museums,interesting_places,art_galleries",7.0,7.0,OpenTripMap,strong_match,museum,art_gallery,,indoor,120,45,120,any,True,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,15,0,EUR,False,medium,,,9,5,10,10,5,6,0,0,0,0,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
14,Capitoline Museums,capitoline museums,Rome,Italy,Capitoline Museums,100.0,R9909127,relation/9909127,Q333906,41.892669677734375,12.482208251953123,"cultural,museums,interesting_places,art_galleries",3.0,3.0,OpenTripMap,strong_match,museum,history_art_museum,,indoor,120,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,16,0,EUR,False,medium,,,8,9,9,8,5,6,0,0,0,0,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
15,Altare della Patria,altare della patria,Rome,Italy,monument to vittorio emanuele ii,100.0,R1849830,relation/1849830,Q506234,41.89468765258789,12.48306655883789,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.0,7.0,OpenTripMap,strong_match,monument,national_monument,,outdoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,9,8,0,3,9,10,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
16,Campo de' Fiori,campo de fiori,Rome,Italy,Manual: Campo de' Fiori,100.0,,,Q28303,41.8956638,12.4720465,"historic,cultural,urban_environment,squares,marketplace",,,"Wikidata, Manual",manual_match,square,market_square,,outdoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,7,5,0,3,5,7,0,8,6,0,7,4,medium,False,True,"Wikidata, Manual","Wikidata, Manual",rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are manually completed using Wikidata. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
17,Trastevere,trastevere,Rome,Italy,Manual: Trastevere,100.0,,,Q914255,41.887222,12.465556,"historic,cultural,urban_environment,districts,neighbourhood",,,"Wikidata, Manual",manual_match,district,historic_neighbourhood,,outdoor,120,45,120,evening,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,9,7,0,3,5,8,0,10,0,0,7,4,medium,False,True,"Wikidata, Manual","Wikidata, Manual",rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are manually completed using Wikidata. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
18,Piazza Venezia,piazza venezia,Rome,Italy,palazzo venezia,100.0,W140186882,way/140186882,Q1123879,41.89605331420898,12.48182201385498,"palaces,architecture,historic_architecture,interesting_places",7.0,7.0,OpenTripMap,strong_match,square,central_square,,outdoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,8,5,0,3,8,8,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
19,Piazza del Popolo,piazza del popolo,Rome,Italy,Manual: Piazza del Popolo,100.0,,,Q824997,41.910711,12.476319,"historic,architecture,cultural,urban_environment,squares",,,"Wikidata, Manual",manual_match,square,historic_square,,outdoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,8,5,0,3,8,9,0,0,0,0,7,4,medium,False,True,"Wikidata, Manual","Wikidata, Manual",rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are manually completed using Wikidata. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
20,Basilica of Saint Mary Major,basilica of saint mary major,Rome,Italy,basilica of saint mary major,100.0,W131564482,way/131564482,Q186282,41.89762496948242,12.498470306396484,"religion,churches,interesting_places,catholic_churches",7.0,7.0,OpenTripMap,strong_match,religious,basilica,,indoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,8,8,0,3,9,6,0,0,0,10,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
21,Baths of Caracalla,baths of caracalla,Rome,Italy,Baths of Caracalla,100.0,W27591419,way/27591419,Q502098,41.87882995605469,12.492473602294922,"national_museums,architecture,historic,archaeology,museums,saunas,other_archaeological_sites,amusements,historic_architecture,cultural,interesting_places,baths_and_saunas,other_buildings_and_structures",7.0,7.0,OpenTripMap,strong_match,historic,archaeological_site,,outdoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,8,0,EUR,False,low,,,8,9,0,3,8,8,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
22,Circus Maximus,circus maximus,Rome,Italy,Circus Maximus,100.0,R11384819,relation/11384819,Q207808,41.88615798950195,12.485308647155762,"historic,urban_environment,gardens_and_parks,archaeology,cultural,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match,historic,ancient_stadium,,outdoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,7,8,0,3,5,7,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
23,Trajan's Market,trajans market,Rome,Italy,mercati di traiano,100.0,W207936435,way/207936435,Q478642,41.8956184387207,12.486105918884276,"architecture,historic_architecture,historic,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match,historic,archaeological_museum,,outdoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,15,0,EUR,False,medium,,,8,9,7,3,8,6,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
24,Ara Pacis,ara pacis,Rome,Italy,Museo dell'Ara Pacis,100.0,W201293294,way/201293294,Q3867996,41.9061393737793,12.475457191467283,"archaeological_museums,cultural,museums,interesting_places,history_museums",3.0,3.0,OpenTripMap,strong_match,museum,historic_monument_museum,,indoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,10,0,EUR,False,low,,,7,8,7,7,5,6,0,0,0,0,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
25,Doria Pamphilj Gallery,doria pamphilj gallery,Rome,Italy,palazzo doria pamphilj,100.0,N706793341,node/706793341,Q385387,41.89782333374024,12.481560707092283,"cultural,museums,interesting_places,art_galleries",7.0,7.0,OpenTripMap,strong_match,museum,art_gallery,,indoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,16,0,EUR,False,medium,,,7,5,8,9,5,6,0,0,0,0,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
26,MAXXI Museum,maxxi museum,Rome,Italy,MAXXI Museo nazionale delle arti del XXI secolo,93.1818181818182,R8748353,relation/8748353,Q1881229,41.9288444519043,12.466667175292969,"national_museums,cultural,museums,interesting_places,art_galleries",6.0,6.0,OpenTripMap,possible_match,museum,modern_art_museum,,indoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,12,0,EUR,False,medium,,,7,5,8,8,8,6,0,0,0,0,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are sourced from OpenTripMap. OpenTripMap match should be manually reviewed. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
27,National Roman Museum,national roman museum,Rome,Italy,museo nazionale romano,100.0,Q1135392,,Q1135392,41.90125274658203,12.498294830322266,"national_museums,museums,cultural,interesting_places",3.0,3.0,OpenTripMap,strong_match,museum,archaeology_museum,,indoor,120,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,12,0,EUR,False,medium,,,8,9,9,3,5,6,0,0,0,0,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
28,Piazza Barberini,piazza barberini,Rome,Italy,triton fountain,100.0,W662063745,way/662063745,Q267971,41.90366363525391,12.488481521606444,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",7.0,7.0,OpenTripMap,strong_match,square,historic_square_fountain,,outdoor,30,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,6,5,0,3,7,7,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
29,Quirinal Palace,quirinal palace,Rome,Italy,quirinal palace,100.0,R2707110,relation/2707110,Q223079,41.90065383911133,12.486031532287598,"palaces,architecture,historic_architecture,interesting_places",7.0,7.0,OpenTripMap,strong_match,palace,government_palace,,outdoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,7,7,0,3,8,7,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
30,Janiculum Hill,janiculum hill,Rome,Italy,Gianicolo,100.0,N1001130486,node/1001130486,Q3636238,41.89157485961914,12.461164474487305,"historic,battlefields,historical_places,interesting_places",3.0,3.0,OpenTripMap,strong_match,viewpoint,hill_viewpoint,,outdoor,60,45,120,sunset,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,7,5,0,3,5,9,6,0,0,0,7,7,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
31,Orange Garden,orange garden,Rome,Italy,Giardino degli Aranci,100.0,N653947448,node/653947448,,41.88542556762695,12.479907989501951,"view_points,other,interesting_places",1.0,1.0,OpenTripMap,strong_match,park,viewpoint_garden,,outdoor,45,45,120,sunset,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,7,5,0,3,5,9,8,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
32,Mouth of Truth,mouth of truth,Rome,Italy,The Mouth of Truth,87.5,N497186177,node/497186177,Q729490,41.88825607299805,12.481544494628906,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",3.0,3.0,OpenTripMap,possible_match,landmark,historic_sculpture,,outdoor,30,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,7,6,0,3,5,8,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are sourced from OpenTripMap. OpenTripMap match should be manually reviewed. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
33,Tiber Island,tiber island,Rome,Italy,Isola Tiberina,100.0,N4798313727,node/4798313727,,41.8896369934082,12.479233741760254,"view_points,other,interesting_places",1.0,1.0,OpenTripMap,strong_match,landmark,island,,outdoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,6,6,0,3,5,7,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
34,Appian Way,appian way,Rome,Italy,Manual: Appian Way,100.0,,,Q189417,41.866944,12.5325,"historic,archaeology,cultural,roads,heritage",,,"Wikidata, Manual",manual_match,historic,ancient_road,,outdoor,120,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,8,10,0,3,5,8,6,0,0,0,7,8,medium,False,True,"Wikidata, Manual","Wikidata, Manual",rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are manually completed using Wikidata. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
