profile_name,recommendation_rank,location_id,location_name,category,sub_category,predicted_suitability_score,entry_fee_adult,budget_level,average_visit_duration_min,recommended_visit_time,weighted_interest_match,tempo_duration_match,is_affordable,recommendation_reason
nature_photography,4,30,Janiculum Hill,viewpoint,hill_viewpoint,70.48,0,free,60,sunset,5.5758,40.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,5,38,Pincian Hill,viewpoint,hill_viewpoint,69.42,0,free,45,sunset,5.5758,30.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,6,9,St. Peter's Basilica,religious,basilica,68.43,0,free,90,any,4.7576,60.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,7,15,Altare della Patria,monument,national_monument,66.19,0,free,60,any,4.6061,40.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,8,7,Piazza Navona,square,historic_square,64.36,0,free,60,any,4.7879,40.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,9,5,Trevi Fountain,landmark,fountain,62.74,0,free,30,any,4.3333,20.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,10,4,Pantheon,historic,temple_church,62.53,5,low,45,any,4.6364,30.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,1,17,Trastevere,district,historic_neighbourhood,71.9,0,free,120,evening,5.75,66.6667,1,Fotoğraf çekimi için uygun; gastronomi tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,2,7,Piazza Navona,square,historic_square,70.1,0,free,60,any,5.25,66.6667,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,3,16,Campo de' Fiori,square,market_square,68.58,0,free,45,any,5.7812,50.0,1,Fotoğraf çekimi için uygun; gastronomi tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,4,9,St. Peter's Basilica,religious,basilica,63.06,0,free,90,any,3.6875,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,5,11,Castel Sant'Angelo,historic,castle_museum,61.58,15,medium,90,any,3.375,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,6,6,Spanish Steps,landmark,stairs_square,61.5,0,free,45,any,4.0625,50.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,7,1,Colosseum,historic,amphitheatre,60.81,18,medium,120,any,3.625,66.6667,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,8,21,Baths of Caracalla,historic,archaeological_site,60.24,8,low,90,any,2.9688,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,9,15,Altare della Patria,monument,national_monument,59.9,0,free,60,any,3.4688,66.6667,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
gastronomy_evening,10,12,Villa Borghese,park,urban_park,59.45,0,free,90,any,3.1875,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,1,9,St. Peter's Basilica,religious,basilica,84.44,0,free,90,any,6.119,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
free_low_budget,2,15,Altare della Patria,monument,national_monument,75.44,0,free,60,any,5.0238,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
free_low_budget,3,20,Basilica of Saint Mary Major,religious,basilica,75.36,0,free,60,any,5.2143,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,4,36,Basilica of Saint John Lateran,religious,basilica,75.32,0,free,60,any,5.2143,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,5,37,Basilica of Saint Paul Outside the Walls,religious,basilica,73.67,0,free,60,any,5.0476,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,6,12,Villa Borghese,park,urban_park,71.84,0,free,90,any,4.6667,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,7,7,Piazza Navona,square,historic_square,71.3,0,free,60,any,4.9524,66.6667,1,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,8,34,Appian Way,historic,ancient_road,68.92,0,free,120,any,5.0238,66.6667,1,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,9,5,Trevi Fountain,landmark,fountain,68.64,0,free,30,any,4.3571,33.3333,1,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
free_low_budget,10,19,Piazza del Popolo,square,historic_square,67.19,0,free,60,any,4.1667,66.6667,1,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
family_with_children,1,12,Villa Borghese,park,urban_park,65.96,0,free,90,any,4.5238,60.0,1,Doğa ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,2,8,Vatican Museums,museum,art_museum,65.31,20,medium,180,any,4.5476,80.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,3,34,Appian Way,historic,ancient_road,63.88,0,free,120,any,4.3571,80.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,4,13,Borghese Gallery,museum,art_gallery,63.81,15,medium,120,any,4.1905,80.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,5,14,Capitoline Museums,museum,history_art_museum,63.75,16,medium,120,any,4.3571,80.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,6,9,St. Peter's Basilica,religious,basilica,63.37,0,free,90,any,4.3095,60.0,1,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,7,1,Colosseum,historic,amphitheatre,63.08,18,medium,120,any,4.0952,80.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,8,3,Palatine Hill,historic,archaeological_site,62.15,18,medium,90,any,4.1667,60.0,1,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,9,11,Castel Sant'Angelo,historic,castle_museum,61.52,15,medium,90,any,4.3095,60.0,1,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
family_with_children,10,27,National Roman Museum,museum,archaeology_museum,60.23,12,medium,120,any,3.881,80.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
fast_first_time_visitor,1,4,Pantheon,historic,temple_church,81.15,5,low,45,any,6.1277,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
fast_first_time_visitor,2,9,St. Peter's Basilica,religious,basilica,76.56,0,free,90,any,6.4681,0.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
fast_first_time_visitor,3,15,Altare della Patria,monument,national_monument,76.48,0,free,60,any,5.4255,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
fast_first_time_visitor,4,20,Basilica of Saint Mary Major,religious,basilica,74.94,0,free,60,any,5.5106,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
fast_first_time_visitor,5,36,Basilica of Saint John Lateran,religious,basilica,74.94,0,free,60,any,5.5106,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
fast_first_time_visitor,6,37,Basilica of Saint Paul Outside the Walls,religious,basilica,74.2,0,free,60,any,5.3191,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
fast_first_time_visitor,7,10,Sistine Chapel,religious,chapel_art,73.43,20,medium,45,any,5.3617,100.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
fast_first_time_visitor,8,7,Piazza Navona,square,historic_square,72.66,0,free,60,any,5.234,66.6667,1,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
fast_first_time_visitor,9,1,Colosseum,historic,amphitheatre,72.65,18,medium,120,any,6.0,0.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
fast_first_time_visitor,10,29,Quirinal Palace,palace,government_palace,72.52,0,free,45,any,4.4681,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
slow_relaxed_traveler,1,13,Borghese Gallery,museum,art_gallery,71.72,15,medium,120,any,4.8085,80.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
slow_relaxed_traveler,2,8,Vatican Museums,museum,art_museum,71.54,20,medium,180,any,5.1277,80.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
slow_relaxed_traveler,3,14,Capitoline Museums,museum,history_art_museum,68.14,16,medium,120,any,4.7872,80.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
slow_relaxed_traveler,4,25,Doria Pamphilj Gallery,museum,art_gallery,65.59,16,medium,90,any,4.3617,60.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
slow_relaxed_traveler,5,10,Sistine Chapel,religious,chapel_art,65.06,20,medium,45,any,5.0851,30.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
slow_relaxed_traveler,6,27,National Roman Museum,museum,archaeology_museum,63.56,12,medium,120,any,4.0426,80.0,1,Müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
slow_relaxed_traveler,7,11,Castel Sant'Angelo,historic,castle_museum,62.39,15,medium,90,any,4.2979,60.0,1,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
slow_relaxed_traveler,8,26,MAXXI Museum,museum,modern_art_museum,62.26,12,medium,90,any,4.5319,60.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
slow_relaxed_traveler,9,9,St. Peter's Basilica,religious,basilica,61.93,0,free,90,any,4.2553,60.0,1,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
slow_relaxed_traveler,10,12,Villa Borghese,park,urban_park,61.69,0,free,90,any,4.0213,60.0,1,Doğa ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,1,13,Borghese Gallery,museum,art_gallery,76.44,15,medium,120,any,5.7857,66.6667,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,2,25,Doria Pamphilj Gallery,museum,art_gallery,75.65,16,medium,90,any,5.1667,100.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
rainy_weather,3,10,Sistine Chapel,religious,chapel_art,74.76,20,medium,45,any,6.2143,50.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,4,14,Capitoline Museums,museum,history_art_museum,73.17,16,medium,120,any,5.6667,66.6667,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,5,26,MAXXI Museum,museum,modern_art_museum,72.58,12,medium,90,any,5.4048,100.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
rainy_weather,6,8,Vatican Museums,museum,art_museum,71.38,20,medium,180,any,6.1429,0.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,7,9,St. Peter's Basilica,religious,basilica,69.36,0,free,90,any,4.6667,100.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,8,24,Ara Pacis,museum,historic_monument_museum,68.74,10,low,60,any,4.9286,66.6667,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,9,27,National Roman Museum,museum,archaeology_museum,67.68,12,medium,120,any,4.7143,66.6667,1,Müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
rainy_weather,10,39,Domus Aurea,historic,archaeological_site,67.6,16,medium,90,any,4.2857,100.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,1,16,Campo de' Fiori,square,market_square,64.18,0,free,45,any,5.4359,50.0,1,Fotoğraf çekimi için uygun; gastronomi tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,2,6,Spanish Steps,landmark,stairs_square,64.14,0,free,45,any,4.8718,50.0,1,Fotoğraf çekimi için uygun; alışveriş ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,3,11,Castel Sant'Angelo,historic,castle_museum,63.56,15,medium,90,any,3.7179,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,4,1,Colosseum,historic,amphitheatre,63.38,18,medium,120,any,3.8974,66.6667,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,5,7,Piazza Navona,square,historic_square,62.85,0,free,60,any,4.5897,66.6667,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,6,17,Trastevere,district,historic_neighbourhood,62.45,0,free,120,evening,4.5385,66.6667,1,Fotoğraf çekimi için uygun; gastronomi tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,7,21,Baths of Caracalla,historic,archaeological_site,62.12,8,low,90,any,3.2308,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,8,9,St. Peter's Basilica,religious,basilica,61.44,0,free,90,any,3.9231,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,9,25,Doria Pamphilj Gallery,museum,art_gallery,61.43,16,medium,90,any,3.3077,100.0,1,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
shopping_city_life,10,3,Palatine Hill,historic,archaeological_site,60.16,18,medium,90,any,3.0256,100.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
