user_profile_id,history_interest,museum_interest,art_interest,architecture_interest,photography_interest,nature_interest,gastronomy_interest,shopping_interest,religious_interest,budget_level,max_entry_fee,free_place_preference,rainy_weather,hot_weather,tempo,preferred_visit_time,family_friendly_required
47,3,10,9,5,3,6,6,7,3,free,0,9,True,False,slow,sunset,True
48,8,4,2,4,6,3,10,7,1,low,7,8,False,False,fast,night,False
49,2,4,7,4,3,0,1,6,0,medium,18,8,False,False,normal,afternoon,False
50,3,4,1,10,1,4,4,8,6,free,0,9,False,False,slow,any,False
51,4,3,9,9,4,6,4,10,3,high,59,5,False,False,slow,morning,False
52,5,6,6,5,1,3,7,1,9,high,91,0,False,False,normal,morning,False
53,3,9,2,4,5,3,5,0,6,low,15,10,False,False,normal,evening,False
54,1,9,1,5,0,3,0,6,5,medium,18,6,True,True,fast,any,True
55,1,1,4,3,4,8,8,1,0,medium,27,7,False,False,normal,any,False
56,10,2,5,4,8,0,3,2,4,low,11,8,False,False,slow,sunset,True
57,5,2,0,6,10,9,0,4,6,medium,16,7,False,False,slow,evening,True
58,4,2,5,8,5,0,5,5,7,low,12,6,False,False,fast,any,False
59,1,6,4,9,4,4,2,6,1,low,12,8,False,False,fast,night,True
60,6,6,4,2,0,6,10,0,2,medium,29,5,False,False,normal,sunset,False
61,3,0,4,9,4,1,5,0,5,medium,24,8,False,True,slow,any,False
62,4,1,3,10,2,5,5,5,4,medium,19,6,False,False,normal,night,False
63,3,1,6,9,0,9,4,9,0,low,8,6,False,False,fast,any,False
64,9,1,1,6,4,1,0,6,6,medium,33,4,False,True,slow,evening,False
65,4,2,8,0,5,6,0,1,7,low,8,10,False,True,fast,evening,False
66,6,9,4,7,3,4,1,7,5,medium,31,5,False,False,fast,morning,False
67,3,7,0,2,4,8,0,8,2,medium,33,7,False,False,normal,any,False
68,6,8,3,3,1,3,2,6,10,low,6,8,False,False,normal,any,False
69,6,7,0,3,0,5,5,2,6,low,5,10,False,False,normal,morning,False
70,9,2,0,4,8,1,5,3,1,medium,26,7,False,False,normal,sunset,False
71,9,0,1,2,9,2,2,0,8,high,86,0,True,False,fast,evening,True
72,1,2,2,5,2,7,0,8,1,medium,16,8,True,False,normal,afternoon,False
73,0,2,3,0,2,5,5,4,10,medium,24,3,False,False,fast,any,False
74,2,2,0,0,10,5,3,1,1,low,8,10,False,False,normal,morning,False
75,7,6,2,4,3,4,3,10,2,low,5,8,True,False,normal,evening,False
76,3,10,4,7,3,6,2,5,2,low,7,6,False,True,normal,sunset,False
77,8,2,8,8,4,1,6,6,5,free,0,9,False,False,normal,night,False
78,3,7,3,3,5,9,6,2,7,low,6,8,False,True,normal,any,False
79,3,3,4,4,6,5,0,3,8,low,12,10,True,True,fast,sunset,False
80,8,10,10,4,4,4,1,2,2,high,84,3,False,False,fast,afternoon,False
81,2,9,5,6,5,4,8,2,0,medium,19,5,False,False,normal,any,False
82,4,3,5,6,9,6,1,5,5,medium,31,3,False,False,normal,morning,True
83,6,3,1,1,1,8,0,2,6,medium,31,7,False,False,fast,any,False
84,1,1,1,6,5,6,8,5,3,free,0,10,False,False,normal,evening,False
85,1,2,6,6,3,6,1,2,10,medium,24,6,False,False,fast,any,False
86,9,4,0,5,6,4,6,7,2,free,0,9,False,False,slow,any,False
87,10,0,3,4,2,8,3,0,2,low,10,6,False,False,slow,any,False
88,3,4,7,0,0,2,1,8,4,high,89,0,False,True,fast,any,False
89,10,7,5,4,4,1,5,8,2,medium,34,5,False,False,normal,any,False
90,4,4,6,4,4,0,3,6,10,free,0,9,False,True,slow,any,False
91,0,9,4,2,6,8,6,6,10,high,96,5,True,True,normal,night,True
92,8,0,2,2,4,3,6,4,3,low,15,7,False,False,fast,evening,False
93,5,3,3,2,1,3,10,2,9,medium,28,3,False,False,fast,any,True
94,3,4,5,3,8,5,3,2,10,free,0,10,False,True,slow,night,True
95,6,5,5,1,7,8,10,0,1,free,0,9,False,False,normal,evening,False
96,4,8,4,2,3,2,5,9,1,high,38,5,True,False,slow,any,False
97,2,5,3,8,7,1,6,7,3,low,12,6,False,False,slow,evening,False
98,6,1,8,6,9,4,1,0,8,medium,22,6,True,False,normal,sunset,False
99,3,10,10,6,3,6,4,0,8,high,44,3,False,False,fast,sunset,False
100,4,6,7,7,4,1,2,1,8,low,8,8,False,False,normal,any,True
101,2,4,7,4,8,8,1,5,4,medium,34,5,False,False,slow,any,True
102,4,3,4,7,10,5,9,5,2,medium,27,5,False,False,fast,morning,False
103,6,5,9,5,6,9,3,1,6,low,13,6,False,False,normal,any,True
104,1,6,1,6,2,4,9,1,8,medium,31,6,False,False,fast,night,False
105,4,2,0,7,2,3,4,6,5,medium,24,7,True,True,fast,any,False
106,10,0,4,4,1,9,4,2,0,low,12,10,False,False,normal,any,False
107,4,2,6,1,1,10,4,0,7,free,0,9,False,True,slow,any,False
108,4,5,9,4,2,4,10,5,4,low,5,8,False,True,normal,any,False
109,8,5,7,4,3,1,4,10,1,medium,22,3,False,False,fast,morning,False
110,4,6,4,10,6,6,7,5,1,medium,32,5,False,False,normal,night,False
111,6,6,5,5,5,9,4,10,8,high,70,4,False,False,slow,evening,False
112,2,4,6,9,2,7,4,10,3,medium,19,5,True,False,fast,night,False
113,6,9,4,9,1,0,4,8,1,free,0,10,False,True,normal,morning,False
114,8,3,5,3,3,5,1,6,2,low,15,6,False,True,normal,afternoon,False
115,3,6,8,0,6,3,6,3,1,high,72,0,True,False,fast,night,False
116,6,10,2,1,6,0,2,8,10,medium,20,3,False,False,normal,evening,True
117,2,0,3,5,7,1,8,3,9,high,35,2,False,False,normal,any,False
118,9,5,1,0,7,10,2,1,3,medium,24,8,True,False,normal,afternoon,True
119,1,3,5,4,2,3,5,10,6,medium,21,4,False,False,slow,afternoon,False
120,0,8,4,4,1,1,2,6,10,low,8,10,False,False,normal,any,True
121,10,5,6,2,5,0,3,9,6,free,0,10,True,False,normal,afternoon,True
122,0,2,3,1,6,1,6,10,2,high,83,3,False,False,normal,evening,False
123,8,4,10,4,1,8,6,0,6,free,0,9,False,False,normal,sunset,True
124,1,5,7,0,10,4,6,0,1,low,6,10,True,False,normal,any,False
125,4,1,6,7,1,4,2,8,6,high,75,4,False,False,normal,any,True
126,2,2,0,8,5,5,3,10,7,high,83,6,False,False,normal,any,True
127,1,2,6,8,6,3,7,10,3,medium,19,6,False,True,normal,night,False
128,5,6,1,0,2,3,5,4,7,high,59,6,False,False,normal,morning,False
129,8,1,5,0,10,1,5,4,5,low,8,10,False,True,normal,afternoon,False
130,3,0,6,5,3,6,6,9,8,low,11,6,False,True,fast,any,False
131,1,9,1,3,8,3,9,2,6,medium,35,8,False,True,slow,any,False
132,7,6,7,6,5,0,6,0,3,low,15,7,True,True,fast,morning,True
133,7,4,4,3,0,0,4,9,9,free,0,8,True,True,fast,any,False
134,0,2,3,3,8,5,8,2,5,medium,17,8,False,False,fast,morning,False
135,8,0,3,6,3,5,6,2,7,high,40,1,False,False,slow,morning,True
136,4,4,5,0,8,6,2,0,1,medium,27,3,False,False,normal,sunset,False
137,5,1,6,5,5,7,9,7,0,medium,17,5,False,False,normal,night,False
138,1,2,4,10,10,1,5,10,0,medium,24,4,False,True,fast,evening,False
139,0,0,7,2,3,9,9,0,1,free,0,9,False,False,fast,any,False
140,9,3,3,6,0,8,8,5,3,low,9,8,False,True,fast,any,False
141,2,1,5,5,3,8,3,0,1,low,11,8,False,False,slow,morning,False
142,4,5,8,3,9,1,3,2,9,medium,35,6,False,False,normal,any,False
143,4,8,5,7,5,3,5,1,3,medium,17,6,False,True,normal,any,True
144,3,10,4,3,4,4,10,4,0,medium,26,8,False,False,normal,any,False
145,4,0,10,6,2,10,0,0,7,low,13,10,False,False,fast,morning,False
146,0,3,7,2,3,0,0,8,9,low,12,7,False,False,fast,evening,False
147,0,6,5,0,7,6,2,5,0,medium,20,8,False,True,fast,afternoon,False
148,5,1,1,5,5,3,10,0,5,medium,21,6,False,False,normal,any,False
149,6,8,2,2,1,3,0,2,5,high,75,4,False,False,fast,morning,False
150,4,4,0,5,8,2,0,1,2,low,10,7,False,False,fast,morning,True
151,1,3,9,1,8,2,6,3,7,high,36,3,True,False,slow,afternoon,False
152,6,3,3,1,0,7,8,9,0,low,13,8,True,False,normal,evening,False
153,2,9,4,6,6,0,6,5,3,medium,28,3,False,False,fast,sunset,True
154,3,7,6,6,1,8,6,5,4,medium,34,8,False,False,slow,sunset,False
155,4,1,2,5,9,9,4,9,6,medium,18,4,False,False,slow,night,False
156,1,1,9,6,1,6,6,5,3,medium,33,8,False,False,normal,afternoon,False
157,4,5,2,5,2,3,10,2,4,free,0,10,False,False,normal,sunset,False
158,6,1,3,9,2,6,9,2,4,medium,33,6,False,False,slow,any,False
159,8,10,3,0,3,1,5,1,5,low,9,6,False,True,normal,sunset,True
160,3,5,0,7,7,1,3,0,1,medium,31,8,False,True,normal,any,False
161,8,3,7,5,6,0,0,9,2,high,52,3,False,False,fast,night,True
162,9,5,8,8,3,4,5,3,6,low,6,7,False,False,normal,night,False
163,2,5,0,8,4,4,4,5,4,low,5,8,False,False,fast,morning,False
164,3,0,1,3,5,4,0,7,2,high,51,3,False,False,normal,evening,False
165,7,0,2,1,0,0,6,3,4,low,13,9,False,False,normal,afternoon,True
166,0,4,1,6,8,4,2,3,4,medium,35,8,False,False,normal,night,True
167,3,7,3,4,4,0,2,5,5,medium,20,3,True,True,fast,morning,False
168,1,5,9,5,7,6,0,9,6,medium,31,3,False,False,normal,morning,False
169,6,4,1,2,1,2,6,7,4,medium,18,4,False,True,slow,any,True
170,1,6,7,4,6,5,10,1,2,low,10,8,False,False,fast,evening,True
171,0,3,0,3,6,2,6,6,9,low,13,9,True,True,normal,any,False
172,6,6,1,5,4,8,1,7,3,free,0,10,False,False,slow,any,False
173,4,8,3,3,7,1,5,9,0,free,0,10,False,False,normal,evening,False
174,7,3,8,1,2,2,9,6,3,medium,25,5,False,True,slow,any,False
175,0,1,10,3,2,3,0,4,2,high,61,3,False,True,fast,any,False
176,9,1,0,8,2,3,7,5,2,low,7,6,False,False,normal,afternoon,True
177,0,0,7,6,6,1,1,1,6,medium,35,8,True,False,slow,any,False
178,6,1,0,6,6,6,2,7,0,high,41,1,False,False,normal,morning,False
179,1,1,9,2,3,8,0,4,4,medium,35,5,False,False,normal,any,False
180,5,6,4,7,3,6,5,2,10,medium,30,5,False,False,normal,any,False
181,9,0,6,3,4,2,6,4,1,high,47,1,False,True,slow,sunset,True
182,2,6,6,1,1,1,9,6,5,medium,33,3,False,False,normal,any,False
183,1,3,0,0,7,1,4,1,7,medium,15,5,False,True,fast,evening,False
184,8,4,5,1,6,0,6,4,9,high,82,5,False,False,fast,any,True
185,6,5,3,5,2,1,9,1,5,medium,20,6,False,False,fast,evening,False
186,9,8,5,4,0,3,8,2,5,free,0,9,True,False,fast,evening,False
187,9,1,1,5,0,2,2,7,5,free,0,9,False,False,slow,morning,False
188,3,8,1,3,0,6,7,2,7,low,6,6,False,False,fast,any,False
189,4,4,3,5,0,10,5,1,4,high,55,0,True,True,fast,evening,False
190,2,2,1,0,7,10,4,4,10,low,10,6,False,True,normal,afternoon,True
191,1,5,2,7,3,6,0,2,6,low,12,8,True,False,fast,sunset,False
192,10,3,2,1,9,4,0,1,6,medium,18,3,False,False,normal,evening,True
193,6,4,3,4,5,6,10,4,1,medium,17,6,False,False,normal,sunset,False
194,3,8,8,1,6,1,8,0,3,free,0,8,False,False,slow,any,False
195,3,10,4,2,6,2,4,3,6,free,0,8,False,True,normal,evening,False
196,6,9,6,4,2,3,2,3,5,medium,34,6,True,True,fast,afternoon,False
197,2,5,1,0,5,3,9,2,0,low,9,8,False,False,normal,any,False
198,5,3,6,6,9,2,5,3,4,medium,21,6,False,False,normal,evening,False
199,6,1,0,2,5,4,3,1,7,low,8,6,False,False,slow,evening,False
200,5,0,5,0,1,2,10,4,10,low,12,10,False,False,slow,any,False
201,0,3,0,1,8,6,1,5,1,medium,23,8,False,True,slow,evening,True
202,4,6,7,1,2,4,6,2,5,high,70,3,False,False,normal,any,False
203,9,9,2,5,0,3,7,2,2,medium,23,5,False,False,normal,any,False
204,10,5,2,5,1,5,0,5,3,high,68,3,False,False,normal,night,False
205,5,2,4,9,6,1,6,8,2,free,0,10,False,False,slow,any,False
206,2,8,5,9,3,6,2,2,2,medium,29,3,False,False,normal,night,True
207,0,6,5,3,4,2,3,0,8,low,8,8,False,False,slow,morning,False
208,2,8,9,7,0,3,2,1,6,medium,33,4,False,False,fast,afternoon,False
209,3,0,0,4,1,5,9,7,2,medium,31,4,True,True,normal,any,False
210,3,9,8,0,6,0,2,2,3,medium,34,7,False,False,slow,any,False
211,6,3,7,8,1,5,1,1,5,free,0,8,False,False,fast,sunset,False
212,7,5,6,0,0,7,3,3,10,low,9,9,False,True,normal,any,False
213,2,4,4,5,1,3,6,0,7,low,6,9,True,True,normal,afternoon,True
214,0,10,1,5,10,2,8,0,0,medium,18,7,False,True,fast,afternoon,False
215,5,1,3,2,9,3,0,0,6,low,5,8,False,False,normal,any,False
216,8,5,5,1,2,2,3,4,2,high,46,2,False,True,normal,night,False
217,5,6,1,0,1,5,7,8,0,medium,33,6,False,False,fast,morning,False
218,3,3,7,3,3,0,0,2,5,low,15,10,False,False,normal,night,False
219,3,8,3,2,5,5,5,3,8,medium,32,7,True,False,fast,sunset,False
220,6,10,2,1,2,2,0,4,1,medium,27,6,False,True,normal,afternoon,True
221,0,3,5,5,0,7,3,10,0,medium,15,3,False,False,normal,sunset,False
222,6,0,8,6,3,9,4,10,5,medium,29,3,True,False,fast,morning,False
223,5,0,0,1,3,8,6,5,10,low,14,7,True,False,normal,morning,False
224,3,7,5,6,5,7,10,3,5,medium,31,4,False,True,normal,afternoon,False
225,4,1,8,0,3,9,4,10,3,high,66,2,False,False,normal,sunset,True
226,5,4,6,2,8,1,8,4,9,medium,19,8,False,False,normal,evening,False
227,4,3,4,4,5,10,5,5,6,medium,28,3,False,True,fast,evening,True
228,5,2,1,6,7,5,6,2,1,medium,16,5,False,True,slow,evening,False
229,4,9,5,5,0,3,10,3,9,high,41,0,False,True,slow,sunset,False
230,6,4,4,5,4,8,6,5,1,low,7,6,True,True,normal,morning,False
231,4,9,7,2,10,5,1,0,1,high,41,6,False,False,normal,morning,False
232,4,8,1,4,0,8,3,4,4,medium,26,4,False,False,normal,any,False
233,6,6,5,0,7,5,2,10,8,high,66,0,False,False,slow,night,False
234,9,4,6,4,10,3,0,2,8,low,6,6,True,False,normal,any,True
235,0,1,4,10,5,6,7,8,0,medium,25,3,True,True,slow,afternoon,False
236,3,3,3,5,10,3,2,0,3,medium,32,3,False,False,slow,afternoon,False
237,4,0,2,6,5,9,4,0,2,medium,29,6,False,False,normal,afternoon,True
238,5,1,2,5,9,0,4,6,8,low,5,10,False,False,slow,any,False
239,5,6,4,8,1,8,1,9,1,low,15,10,False,False,slow,night,False
240,0,9,0,1,10,9,2,1,5,medium,18,5,False,False,normal,morning,False
241,6,2,10,1,0,9,1,6,1,medium,35,6,False,False,normal,any,False
242,3,4,0,1,7,9,6,6,1,high,60,2,False,False,normal,sunset,False
243,8,0,4,2,4,4,10,8,2,low,14,8,True,False,fast,morning,True
244,6,4,8,3,1,1,4,4,5,high,53,5,False,False,fast,evening,True
245,0,5,1,9,3,10,3,0,0,high,76,0,False,False,slow,sunset,False
246,3,2,7,4,2,10,8,4,3,low,10,9,False,False,fast,sunset,False
247,4,9,1,1,1,1,2,4,5,medium,22,6,False,False,normal,morning,True
248,0,1,0,1,4,4,8,1,5,medium,33,4,True,True,fast,night,False
249,8,3,4,3,10,1,1,6,10,medium,33,4,False,False,fast,evening,False
250,3,8,0,7,1,4,6,10,6,low,6,7,False,False,fast,evening,False
251,3,8,4,4,6,0,6,5,5,medium,28,5,False,False,normal,night,False
252,3,8,2,3,6,8,6,0,2,medium,32,6,False,True,normal,any,False
253,8,5,6,2,3,9,7,1,3,medium,23,5,False,False,normal,any,False
254,4,6,4,3,1,2,10,2,2,medium,27,8,True,False,fast,any,False
255,1,10,6,2,6,4,4,5,5,medium,20,6,False,True,fast,any,False
256,2,8,2,0,4,0,5,3,10,medium,31,5,False,False,slow,sunset,False
257,9,1,0,8,4,1,5,0,2,low,5,7,True,True,normal,evening,False
258,0,5,5,0,0,4,2,5,9,low,9,7,False,True,slow,afternoon,False
259,4,7,4,2,2,0,6,4,9,high,67,5,False,False,normal,any,False
260,10,0,2,0,3,5,6,8,5,medium,25,6,False,False,fast,sunset,True
261,5,5,6,2,0,4,8,3,2,low,14,8,True,False,slow,any,False
262,6,2,1,8,1,6,1,6,4,low,6,6,False,False,normal,afternoon,False
263,9,3,9,3,1,6,4,9,3,low,14,7,True,False,normal,afternoon,False
264,0,5,10,2,5,0,0,8,3,medium,25,5,False,True,normal,any,False
265,3,10,1,3,5,9,2,6,10,low,7,10,True,False,fast,any,False
266,3,6,3,1,1,6,5,1,10,medium,20,6,False,False,slow,afternoon,False
267,4,6,4,0,10,0,5,1,7,low,9,9,False,True,normal,any,False
268,10,0,2,6,8,8,6,2,2,low,13,9,False,False,fast,afternoon,False
269,5,6,9,3,5,4,4,3,6,high,45,1,False,False,normal,evening,False
270,6,6,2,5,10,3,1,8,6,free,0,10,False,False,normal,any,False
271,3,7,0,6,3,4,6,0,0,low,7,6,False,False,normal,any,False
272,6,1,7,0,9,6,2,6,10,medium,32,5,False,True,slow,afternoon,False
273,2,3,4,1,7,3,9,2,3,low,9,6,True,False,slow,any,False
274,6,3,2,0,6,3,6,9,4,low,5,10,False,False,normal,morning,True
275,2,7,3,5,1,4,9,2,9,medium,17,4,True,True,normal,morning,False
276,0,1,0,7,1,7,2,2,1,medium,15,4,True,True,fast,morning,False
277,5,6,0,2,0,8,0,9,6,low,13,9,True,False,normal,morning,True
278,3,1,5,7,1,3,7,8,3,low,9,8,True,False,normal,afternoon,True
279,2,0,6,8,7,1,5,3,2,free,0,10,True,False,fast,any,False
280,6,0,8,1,3,7,5,4,2,high,42,0,False,True,normal,any,False
281,6,3,5,1,0,10,2,5,8,low,5,9,False,False,normal,morning,False
282,3,2,6,6,4,8,0,8,10,low,9,10,False,True,normal,morning,True
283,6,4,1,2,5,7,5,4,6,low,13,9,False,True,normal,morning,False
284,5,0,0,6,1,1,6,0,8,low,8,6,True,False,normal,morning,False
285,8,4,7,0,8,5,3,6,0,medium,35,3,False,False,slow,sunset,False
286,4,0,5,0,9,0,1,4,0,low,8,10,False,True,normal,afternoon,False
287,0,6,5,4,2,10,10,0,8,medium,32,6,False,False,normal,afternoon,False
288,6,2,3,6,5,10,6,5,9,medium,33,7,False,False,slow,any,False
289,7,2,4,0,4,1,9,0,2,high,62,6,False,False,slow,sunset,False
290,7,3,9,1,1,2,2,4,8,low,9,6,False,False,fast,any,False
291,6,5,7,4,5,2,0,10,0,medium,25,5,False,False,slow,any,False
292,9,4,0,2,4,4,8,2,8,low,15,9,False,False,normal,any,False
293,2,0,10,4,5,0,4,3,9,free,0,10,True,True,normal,morning,False
294,4,5,4,1,1,0,2,6,10,low,14,6,True,False,normal,any,False
295,9,10,4,1,10,0,6,1,1,medium,19,8,False,True,fast,night,False
296,7,2,3,3,0,9,1,5,4,low,13,10,False,False,normal,night,False
297,7,2,1,0,9,1,9,0,3,medium,15,3,False,True,slow,evening,False
298,6,5,3,1,10,4,5,0,2,medium,34,7,True,True,slow,afternoon,False
299,4,2,2,10,3,5,1,0,2,medium,26,8,False,False,slow,any,True
300,9,1,1,2,3,5,8,0,5,low,15,10,False,False,normal,afternoon,False
301,4,1,1,5,1,8,6,8,2,medium,31,4,False,False,slow,evening,False
302,0,4,4,5,0,8,2,6,1,medium,25,6,False,False,normal,sunset,False
303,1,0,8,1,7,6,9,4,4,medium,34,4,False,True,fast,evening,True
304,6,10,3,3,1,8,1,8,0,medium,15,5,False,True,normal,any,True
305,6,4,3,5,2,6,3,8,3,medium,16,7,False,False,normal,afternoon,False
306,7,3,3,6,7,1,4,4,10,high,40,4,False,False,slow,any,False
307,1,3,2,4,7,5,4,8,3,medium,29,3,False,True,slow,night,False
308,3,2,3,0,1,3,8,3,0,low,15,7,False,True,fast,morning,False
309,4,3,7,8,2,4,8,1,6,low,5,9,False,False,slow,any,True
310,0,4,6,9,0,3,3,6,3,medium,15,7,False,True,normal,morning,False
311,8,4,2,4,5,4,6,6,1,free,0,8,False,True,slow,evening,False
312,0,7,3,1,1,9,4,5,5,medium,33,7,True,False,normal,night,True
313,3,6,0,6,3,7,2,3,8,low,9,8,False,False,normal,afternoon,True
314,5,9,3,9,2,4,4,4,9,high,98,4,False,False,slow,sunset,True
315,7,0,3,7,5,6,1,6,4,high,87,0,False,False,normal,any,True
316,2,9,4,4,9,6,0,0,5,low,11,10,False,True,fast,any,False
317,0,5,1,3,1,5,10,9,10,medium,28,8,True,False,normal,evening,False
318,4,5,2,9,0,1,2,6,0,low,11,10,False,False,normal,afternoon,False
319,9,3,0,3,1,9,3,6,2,low,9,7,True,False,slow,sunset,False
320,4,1,1,2,3,5,6,9,6,low,6,10,False,True,normal,morning,False
321,7,7,9,3,0,0,4,6,5,medium,15,7,False,False,fast,any,False
322,0,2,1,1,2,7,0,7,8,medium,32,5,False,False,slow,afternoon,True
323,0,1,0,3,5,7,0,10,0,free,0,8,False,False,normal,evening,False
324,6,1,5,6,7,10,4,1,0,medium,29,3,False,False,normal,morning,True
325,6,4,9,2,3,1,5,5,2,medium,25,6,False,True,fast,morning,False
326,4,0,10,6,5,7,2,4,5,free,0,10,False,False,fast,any,True
327,2,8,6,5,4,3,10,4,6,low,8,7,False,True,slow,afternoon,False
328,0,6,3,1,9,10,0,7,5,medium,27,5,False,False,fast,sunset,False
329,8,3,9,3,4,10,1,1,5,high,73,4,False,False,slow,night,False
330,10,8,6,2,0,2,4,0,0,medium,26,3,False,False,fast,evening,False
331,3,3,4,1,5,1,10,1,8,medium,26,6,True,False,normal,any,True
332,5,3,10,1,0,1,5,6,3,high,89,4,True,False,normal,morning,False
333,4,0,4,3,6,5,8,5,4,low,13,10,False,False,normal,evening,True
334,5,9,10,4,0,4,4,0,1,medium,17,8,False,False,normal,any,False
335,3,4,3,4,5,2,3,9,6,low,7,6,False,False,normal,evening,False
336,0,5,9,6,7,2,3,7,1,medium,23,5,True,True,slow,any,True
337,5,3,9,6,1,2,6,5,1,medium,31,3,False,True,fast,night,True
338,1,5,3,5,5,1,8,4,9,free,0,8,True,False,normal,morning,False
339,5,3,3,9,1,10,7,2,6,medium,25,7,False,True,slow,afternoon,False
340,2,2,6,0,9,10,3,6,5,medium,33,4,False,False,slow,any,True
341,0,10,0,4,0,5,3,2,1,medium,23,4,True,False,fast,afternoon,False
342,5,7,0,6,4,1,3,5,6,high,58,0,False,True,normal,night,False
343,2,1,6,0,2,7,10,3,2,high,68,6,False,False,normal,night,False
344,0,1,4,6,3,1,4,7,3,medium,18,3,True,False,normal,morning,False
345,7,5,3,2,1,5,2,3,4,free,0,9,False,False,slow,evening,False
346,5,6,6,3,0,4,9,2,5,low,5,6,False,False,normal,sunset,False
347,4,0,10,8,2,5,3,0,5,medium,30,3,False,False,fast,any,True
348,0,6,4,9,3,4,6,10,7,free,0,9,False,True,fast,sunset,False
349,5,4,8,0,0,5,1,3,7,medium,34,3,False,False,fast,afternoon,False
350,4,1,6,4,0,6,6,7,0,medium,34,4,True,True,normal,sunset,False
351,5,8,2,6,6,8,6,0,4,low,6,6,False,False,fast,morning,True
352,8,0,6,6,5,4,3,6,1,free,0,8,True,True,fast,evening,False
353,1,1,9,4,3,3,1,8,4,medium,34,4,False,False,fast,sunset,False
354,8,0,4,7,4,2,6,6,4,medium,29,8,False,True,fast,evening,False
355,1,5,7,0,5,2,2,8,3,low,14,9,True,False,slow,any,False
356,0,8,5,3,4,4,2,3,8,medium,25,4,False,False,fast,evening,False
357,3,10,0,10,1,1,4,3,1,low,7,9,False,False,slow,any,True
358,7,10,3,3,8,6,2,1,2,medium,35,7,False,False,normal,any,False
